COD_MARCA;ANO_FABR;VLR_FIPE
1000;2000;9000.82
1000;2001;10500.76
1000;2002;12000.88
1000;2003;13500.49
1000;2004;15000.30
1000;2005;16500.55
1000;2006;18000.56
1000;2007;19500.79
1000;2008;21000.99
1000;2009;22500.23
1000;2010;24000.96
1000;2011;25500.95
1000;2012;27000.45
1000;2013;28500.59
1000;2014;30000.41
1000;2015;31500.07
1000;2016;33000.78
1000;2017;34500.30
1000;2018;36000.42
1000;2019;37500.74
1000;2020;39000.14
1000;2021;40500.82
1000;2022;42000.41
1001;2000;7000.45
1001;2001;9300.87
1001;2002;11600.06
1001;2003;13900.82
1001;2004;16200.41
1001;2005;18500.09
1001;2006;20800.82
1001;2007;23100.83
1001;2008;25400.88
1001;2009;27700.84
1001;2010;30000.67
1001;2011;32300.57
1001;2012;34600.02
1001;2013;36900.44
1001;2014;39200.15
1001;2015;41500.05
1001;2016;43800.97
1001;2017;46100.45
1001;2018;48400.97
1001;2019;50700.84
1001;2020;53000.09
1001;2021;55300.22
1001;2022;57600.25
1002;2000;6800.87
1002;2001;9350.08
1002;2002;11900.17
1002;2003;14450.47
1002;2004;17000.90
1002;2005;19550.85
1002;2006;22100.72
1002;2007;24650.00
1002;2008;27200.26
1002;2009;29750.45
1002;2010;32300.72
1002;2011;34850.98
1002;2012;37400.46
1002;2013;39950.57
1002;2014;42500.11
1002;2015;45050.91
1002;2016;47600.78
1002;2017;50150.28
1002;2018;52700.95
1002;2019;55250.93
1002;2020;57800.54
1002;2021;60350.08
1002;2022;62900.89
1003;2000;7600.16
1003;2001;11350.82
1003;2002;15100.46
1003;2003;18850.83
1003;2004;22600.65
1003;2005;26350.99
1003;2006;30100.76
1003;2007;33850.34
1003;2008;37600.91
1003;2009;41350.17
1003;2010;45100.57
1003;2011;48850.27
1003;2012;52600.97
1003;2013;56350.74
1003;2014;60100.43
1003;2015;63850.09
1003;2016;67600.55
1003;2017;71350.58
1003;2018;75100.67
1003;2019;78850.61
1003;2020;82600.63
1003;2021;86350.77
1003;2022;90100.27
1004;2000;9780.02
1004;2001;11397.92
1004;2002;13014.72
1004;2003;14631.10
1004;2004;16248.41
1004;2005;17865.66
1004;2006;19482.81
1004;2007;21099.17
1004;2008;22716.16
1004;2009;24333.24
1004;2010;25950.87
1004;2011;27567.19
1004;2012;29184.79
1004;2013;30801.79
1004;2014;32418.39
1004;2015;34035.05
1004;2016;35652.12
1004;2017;37269.50
1004;2018;38886.38
1004;2019;40503.07
1004;2020;42120.43
1004;2021;43737.08
1004;2022;45354.88
1005;2000;14530.61
1005;2001;17850.93
1005;2002;21170.38
1005;2003;24490.84
1005;2004;27810.62
1005;2005;31130.33
1005;2006;34450.38
1005;2007;37770.28
1005;2008;41090.44
1005;2009;44410.79
1005;2010;47730.95
1005;2011;51050.72
1005;2012;54370.94
1005;2013;57690.98
1005;2014;61010.68
1005;2015;64330.33
1005;2016;67650.61
1005;2017;70970.50
1005;2018;74290.09
1005;2019;77610.59
1005;2020;80930.61
1005;2021;84250.79
1005;2022;87570.96
1006;2000;12500.73
1006;2001;14560.60
1006;2002;16620.71
1006;2003;18680.67
1006;2004;20740.82
1006;2005;22800.71
1006;2006;24860.99
1006;2007;26920.98
1006;2008;28980.46
1006;2009;31040.35
1006;2010;33100.56
1006;2011;35160.65
1006;2012;37220.95
1006;2013;39280.51
1006;2014;41340.48
1006;2015;43400.36
1006;2016;45460.44
1006;2017;47520.48
1006;2018;49580.48
1006;2019;51640.71
1006;2020;53700.56
1006;2021;55760.47
1006;2022;57820.74
1007;2000;9523.63
1007;2001;12257.36
1007;2002;14991.70
1007;2003;17725.43
1007;2004;20459.38
1007;2005;23193.75
1007;2006;25927.03
1007;2007;28661.37
1007;2008;31395.42
1007;2009;34129.06
1007;2010;36863.79
1007;2011;39597.35
1007;2012;42331.16
1007;2013;45065.26
1007;2014;47799.29
1007;2015;50533.27
1007;2016;53267.02
1007;2017;56001.29
1007;2018;58735.03
1007;2019;61469.90
1007;2020;64203.16
1007;2021;66937.04
1007;2022;69671.19
1008;2000;12780.89
1008;2001;14960.28
1008;2002;17140.06
1008;2003;19320.20
1008;2004;21500.41
1008;2005;23680.35
1008;2006;25860.73
1008;2007;28040.70
1008;2008;30220.88
1008;2009;32400.52
1008;2010;34580.15
1008;2011;36760.85
1008;2012;38940.91
1008;2013;41120.41
1008;2014;43300.53
1008;2015;45480.82
1008;2016;47660.54
1008;2017;49840.06
1008;2018;52020.40
1008;2019;54200.61
1008;2020;56380.39
1008;2021;58560.80
1008;2022;60740.61
1009;2000;8500.60
1009;2001;12378.60
1009;2002;16256.08
1009;2003;20134.45
1009;2004;24012.64
1009;2005;27890.72
1009;2006;31768.37
1009;2007;35646.33
1009;2008;39524.67
1009;2009;43402.19
1009;2010;47280.64
1009;2011;51158.67
1009;2012;55036.51
1009;2013;58914.66
1009;2014;62792.57
1009;2015;66670.79
1009;2016;70548.07
1009;2017;74426.01
1009;2018;78304.09
1009;2019;82182.77
1009;2020;86060.02
1009;2021;89938.84
1009;2022;93816.24
1010;2000;8700.25
1010;2001;11770.99
1010;2002;14840.69
1010;2003;17910.63
1010;2004;20980.93
1010;2005;24050.83
1010;2006;27120.92
1010;2007;30190.11
1010;2008;33260.76
1010;2009;36330.81
1010;2010;39400.20
1010;2011;42470.47
1010;2012;45540.39
1010;2013;48610.24
1010;2014;51680.15
1010;2015;54750.07
1010;2016;57820.73
1010;2017;60890.74
1010;2018;63960.60
1010;2019;67030.35
1010;2020;70100.49
1010;2021;73170.67
1010;2022;76240.84
